Altitude_km,Pa,P_static,Mach,Velocity_m_s,Density,Static_Temperature_K,P_total,MassFlow_kg_s,Thrust_N,Pe,Pe_Pa,Isp
0,101325,13112.443,1.8483835,1031.0131,0.38745274,785.06735,461922.76,161.69526,126540.93,88212.557,0.870590249,782.5889887
1,89880,24086.067,1.9865974,1088.414,0.35036963,758.64448,499945.29,154.5091,126790.8,65793.933,0.732019726,820.6040939
2,79500,34851.721,2.1072503,1135.5786,0.3132651,731.96103,519191.46,144.74606,128902.35,44648.279,0.561613572,890.5413384
3,70120,39172.695,2.175912,1163.6978,0.29849496,719.44316,542434.07,141.53179,128584.16,30947.305,0.441347761,908.5178673
4,61660,41488.996,2.2157416,1179.8741,0.29030584,712.61923,557206.36,139.65059,128232.26,20171.004,0.327132728,918.2364357
5,54050,43018.856,2.2424791,1190.142,0.28464711,708.00629,566832.33,138.14684,127765.07,11031.144,0.204091471,924.8497468
6,47220,44137.844,2.2658486,1198.7863,0.28032923,704.21899,575982.04,137.02347,127438.34,3082.156,0.065272258,930.0475313
7,41110,45016.666,2.2864615,1206.604,0.27694197,701.14498,585500.26,136.23709,127125.96,-3906.666,-0.095029579,933.1229844
8,35650,-45859.364,2.3038436,1212.74,0.27372319,698.10519,592129.46,135.33128,126850.72,-10209.364,-0.286377672,937.3348128
10,26500,-47142.092,2.3333516,1223.2035,0.26882176,693.18646,604866.67,134.03888,126322.9,-20642.092,-0.778946868,942.4347622
12,19400,-48084.267,2.3564994,1231.2233,0.26523426,689.30165,615249.48,133.0974,125924.14,-28684.267,-1.478570464,946.1051831
14,14170,-48814.56,2.3734551,1236.6475,0.26245642,686.13179,621725.26,132.26051,125741.86,-34644.56,-2.444923077,950.7135577
16,10350,-49290.34,2.3864639,1240.9757,0.26064389,683.93952,627747.64,131.78232,125546.03,-38940.34,-3.762351691,952.6773394
18,7565,-49635.012,2.3959413,1244.1253,0.25933993,682.33104,632222.05,131.43716,125370.95,-42070.012,-5.561138401,953.8470703
20,5529,-49902.349,2.4027445,1246.2959,0.25833162,681.0865,635121.29,131.1414,125345.21,-44373.349,-8.025565021,955.8019817
